Row   2 | [LCMP    ] LOADING COMPUTER                           | FUNC: MEASUREMENT INSTRUMENTS                  | MACH: LAODING COMPUTER                    | WISDOM_FUNC: ELECTRONIC EQUIPMENT
Row   3 | [ICCP    ] I.C.C.P SYSTEM                             | FUNC: ICCP SYSTEM                              | MACH: ICCP                                | WISDOM_FUNC: ICCP SYSTEM
Row   4 | [ANCCHAIN] ANCHOR CHAIN                               | FUNC: ANCHOR CHAIN                             | MACH: ANCHOR CHAIN                        | WISDOM_FUNC: ANCHOR CHAIN
Row   5 | [ANCHOR1 ] ANCHOR NO.1                                | FUNC: ANCHOR&MOORING WINDLASS                  | MACH: ANCHOR                              | WISDOM_FUNC: ANCHOR&MOORING WINDLASS
Row   6 | [ANCHOR2 ] ANCHOR NO.2                                | FUNC: ANCHOR&MOORING WINDLASS                  | MACH: ANCHOR                              | WISDOM_FUNC: ANCHOR&MOORING WINDLASS
Row   7 | [SGR1    ] STEERING GEAR                              | FUNC: STEERING SYSTEM                          | MACH: STEERING GEAR                       | WISDOM_FUNC: STEERING SYSTEM
Row   8 | [YMRWC1  ] MOORING WINCH NO.1                         | FUNC: MOORING WINCH                            | MACH: MOORING SYSTEM                      | WISDOM_FUNC: MOORING WINCH
Row   9 | [YMRWC2  ] MOORING WINCH NO.2                         | FUNC: MOORING WINCH                            | MACH: MOORING SYSTEM                      | WISDOM_FUNC: MOORING WINCH
Row  10 | [YMRWC3  ] MOORING WINCH NO.3                         | FUNC: MOORING WINCH                            | MACH: MOORING SYSTEM                      | WISDOM_FUNC: MOORING WINCH
Row  11 | [YMRWC4  ] MOORING WINCH NO.4                         | FUNC: MOORING WINCH                            | MACH: MOORING SYSTEM                      | WISDOM_FUNC: MOORING WINCH
Row  12 | [YWDLS1  ] WINDLASS NO.1                              | FUNC: WINDLASS                                 | MACH: WINCH & WINDLASS                    | WISDOM_FUNC: WINDLASS
Row  13 | [YWDLS2  ] WINDLASS NO.2                              | FUNC: WINDLASS                                 | MACH: WINCH & WINDLASS                    | WISDOM_FUNC: WINDLASS
Row  14 | [BOWTHRU ] BOW THRUSTER                               | FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING | MACH: BOW THRUSTER                        | WISDOM_FUNC: PROPELLER, THRUSTER, STERN TUBE, SHAFTING
