STREAM NAME,URL,CATEGORY,ICON,STATUS
Aaryaa Tv,https://stream.ottlive.co.in/aryatvtamil/index.m3u8,Tamil,,Live
DD Tamil,https://cdn-2.pishow.tv/live/26/master.m3u8,Tamil,,Dead
Fail Army,https://failarmy-international-in.samsung.wurl.tv/playlist.m3u8,English,,Live
Go USA,https://brandusa-gousa-1-in.samsung.wurl.tv/playlist.m3u8,English,,Dead
IBC Tamil,https://ibc.massstream.net/IBC/index.m3u8,Tamil,,Dead
Isaiaruvi Tv,https://segment.yuppcdn.net/140622/isaiaruvi/playlist.m3u8,Tamil,,Live
Kalaignar Tv,https://segment.yuppcdn.net/240122/kalaignartv/playlist.m3u8,Tamil,,Live
MN Tv,https://mntv.livebox.co.in/mntvhls/live.m3u8,Tamil,,Live
Moon Tv,https://player.mslivestream.net/mslive/e10bb900976df9177b9a080314f26f86.sdp/index.m3u8,Tamil,,Dead
Movie Club 2 Tv,https://d3gnyty2vddhsg.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/pb-ytipwjqub3kf8/TMC2_IN.m3u8?ads.ads_cdn=cf&ads.cdn=cf,Hindi,,Live
Movie Club Tv,https://sis-global.prod.samsungtv.plus/v1/tvpprd/sc-mp2ar4ca425xo.m3u8,Hindi,,Live
Murasu Tv,https://segment.yuppcdn.net/050522/murasu/playlist.m3u8,Tamil,,Live
News 7 Tv,https://segment.yuppcdn.net/240122/news7/playlist.m3u8,Tamil,,Live
Peppers Tv,https://cdn-2.pishow.tv/live/1383/master.m3u8,Tamil,,Dead
Polimer news,https://live-cf-polimernews.dailyhunt.in/master.m3u8,Tamil,,Dead
Rakuten Action Movies,https://54045f0c40fd442c8b06df076aaf1e85.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6065/master.m3u8,English,,Dead
Rakuten Family Movies,https://e3207568b726401995c25670faaf32e4.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6203/master.m3u8,English,,Dead
Rakuten Top Movies,https://0145451975a64b35866170fd2e8fa486.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-5987/master.m3u8,English,,Dead
Roja HD Tv,https://live.rojatv.cloud/rojatv/rojatv/index.m3u8,Tamil,,Dead
Roja Tv,https://stream.rojatv.cloud/rojatv/rojatv/index.m3u8,Tamil,,Dead
Sanaa Tv,https://vglivessai.akamaized.net/us/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/b6d9e864-ec16-410a-804d-ccf8f720bfaa/index.m3u8,Tamil,,Dead
Sirippoli HD,https://yuppmedtaorire.akamaized.net/v1/manifest/a0d007312bfd99c47f76b77ae26b1ccdaae76cb1/siripoli_nim_https/c4e6500f-ea05-4226-810e-2833ee0075ff/0.m3u8,Tamil,,Dead
Sirippoli Tv,https://segment.yuppcdn.net/240122/siripoli/playlist.m3u8,Tamil,,Live
Sony MAX 2,https://sl.vodep39240327.workers.dev/channel/SONY%20MAX%202.m3u8,Hindi,,Dead
Sony MAX HD,https://sl.vodep39240327.workers.dev/channel/SONY%20MAX%20HD.m3u8,Hindi,,Dead
Sony PIX HD,https://sl.vodep39240327.workers.dev/channel/SONY%20PIX%20HD.m3u8,English,,Dead
Sony WAH,https://sl.vodep39240327.workers.dev/channel/SONY%20WAH.m3u8,Hindi,,Dead
South Station Tv,https://cc-yw7ztecy8do3q.akamaized.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-yw7ztecy8do3q/SS_IN.m3u8,Hindi,,Live
Star Vijay HD,https://peaky.techcoder40.workers.dev/776.m3u8,Tamil,,Dead
Studio One Tv,https://cdn-1.pishow.tv/live/276/master.m3u8,Telugu,,Dead
Subin Tv,https://stream.galaxyott.live/live/subintv/index.m3u8,Tamil,,Dead
Suriya Tv,https://stream.ottlive.co.in/suryatvtamil/index.m3u8,Tamil,,Dead
Suriyan Tv,https://stream.sscloud7.com/live/suriyantv/index.m3u8,Tamil,,Dead
Thalaa Tv,https://streams2.sofast.tv/ptnr-yupptv/title-THALAA-TV-TAM/sofastplayout/981f8f06-782a-4962-b5e0-7dcccd65279c_0_HLS/manifest.m3u8,Tamil,,Dead
Tharun Movies,https://streaming.livebox.co.in/tharunmovieshls/live.m3u8,Tamil,,Dead
Toonami Movie,http://api.toonamiaftermath.com:3000/movies/playlist.m3u8,English,,Dead
Travel XP HD Tv,https://deltatesttatasky.akamaized.net/out/i/968284.m3u8,English,,Dead
TVI HD,https://live.cmr24.fm/TVI/HD/chunks.m3u8,Tamil,,Dead
Ultimate HD Tv,https://stream.ottlive.co.in/utvtamil/index.m3u8,Tamil,,Dead
Ultimate Tv,https://mumbai-edge.smartplaytv.in/utv/index.m3u8,Tamil,,Dead
Vaanavil Tv,https://6n3yope4d9ok-hls-live.5centscdn.com/vaanavil/TV.stream/playlist.m3u8,Tamil,,Dead
Zee South Flix Tv,https://amg00862-amg00862c9-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c9-amgplt0173/playlist.m3u8,Hindi,,Dead
7s Music Tv,https://cdn.pishow.tv/ott/live/1257/master.m3u8,Tamil,🎵,Dead
Chithiram Tv,https://cdn.pishow.tv/ott/live/1243/master.m3u8,Tamil,👶,Dead
Thanthi Tv,https://streams.tangotv.in/THANTHITV/ORIGIN/index.m3u8,Tamil,📰,Dead
Velicham Tv,https://mumt05.tangotv.in/87NeALx2VALICHAMPLUS/index.m3u8,Tamil,☀️,Dead
Win Tv,https://mumt06.tangotv.in/qYyB8fXVWINTV/index.m3u8,Tamil,📺,Dead
Aaseervatham TV,https://mumt04.tangotv.in/m18aqlK4AASEERVATHAMTV/index.m3u8,Tamil,🪷,Dead
Aastha Tamil,https://aasthaott.akamaized.net/110923/smil:aasthatamil.smil/playlist.m3u8,Tamil,🪷,Dead
Angel TV,https://janya-digimix.akamaized.net/vglive-sk-394914/india/ngrp:angelindia_all/playlist.m3u8,Tamil,🪷,Dead
Angel TV America,https://janya-digimix.akamaized.net/vglive-sk-374850/america/ngrp:angelamerica_all/playlist.m3u8,Tamil,🪷,Dead
Angel TV Indo-China,https://janya-digimix.akamaized.net/vglive-sk-703035/indochina/ngrp:angelindochina_all/playlist.m3u8,Tamil,🪷,Dead
Angel TV Indonesia,https://janya-digimix.akamaized.net/vglive-sk-234616/indonesia/ngrp:angelindonesia_all/playlist.m3u8,Tamil,🪷,Dead
Arputhar Yesu TV,https://account33.livebox.co.in/jesushelpshls/live.m3u8,Tamil,🪷,Dead
Colors Tamil HD,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:colorstamilhd11.smil/playlist.m3u8,Tamil,✨,Dead
Dharsan TV,https://cable91tataplay.akamaized.net/live/dharshantv/index.m3u8,Tamil,🪷,Dead
ETV Bal Bharat,http://103.185.24.134:3001/ETV-BAL-BHARAT/index.m3u8,Tamil,👶,Dead
Hebron TV,https://account20.livebox.co.in/charleshls/live.m3u8,Tamil,🪷,Dead
Hosanna TV,https://asia.mslivestream.net/mslive/bfba54c5c96a6359e2da0ca35f4998af.sdp/playlist.m3u8,Tamil,🪷,Dead
Hungama TV,http://103.185.24.134:3001/HUNGAMA/index.m3u8,Tamil,👶,Live
Kalaignar Murasu,https://yuppmedtaorire.akamaized.net/v1/master/a0d007312bfd99c47f76b77ae26b1ccdaae76cb1/murasu_nim_https/050522/murasu/playlist.m3u8,Tamil,📰,Live
Madha TV,https://mumt07.tangotv.in/zHjX9OFlMADHATV/index.m3u8,Tamil,🪷,Live
Madhimugam TV,https://mumt01.tangotv.in/O5aw8Zn3MATHIMUGAMTV/index.m3u8,Tamil,📰,Live
Makkal TV (576i),https://5k8q87azdy4v-hls-live.wmncdn.net/MAKKAL/271ddf829afeece44d8732757fba1a66.sdp/playlist.m3u8,Tamil,📺,Dead
Mei Alai TV,https://meialai.iptelevishion.com/meialai/2/index.m3u8,Tamil,📺,Live
