STREAM NAME,URL,CATEGORY,ICON,STATUS,RESOLUTION
Aaryaa Tv,https://stream.ottlive.co.in/aryatvtamil/index.m3u8,Tamil,📺,Playing,0x0
Aaseervatham TV,https://mumt04.tangotv.in/m18aqlK4AASEERVATHAMTV/index.m3u8,Tamil,🪷,Playing,480x360
Aastha Tamil,https://aasthaott.akamaized.net/110923/smil:aasthatamil.smil/playlist.m3u8,Tamil,🪷,Playing,384x216
Arputhar Yesu TV,https://account33.livebox.co.in/jesushelpshls/live.m3u8,Tamil,🪷,Playing,1280x720
Colors Tamil HD,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:colorstamilhd11.smil/playlist.m3u8,Tamil,✨,Playing,640x360
Dharsan TV,https://cable91tataplay.akamaized.net/live/dharshantv/index.m3u8,Tamil,🪷,Playing,1920x1080
Fail Army,https://failarmy-international-in.samsung.wurl.tv/playlist.m3u8,English,🌐,Playing,640x360
Hebron TV,https://account20.livebox.co.in/charleshls/live.m3u8,Tamil,🪷,Playing,1920x1080
Hungama TV,http://103.185.24.134:3001/HUNGAMA/index.m3u8,Tamil,👶,Playing,1047x576
Isaiaruvi Tv,https://segment.yuppcdn.net/140622/isaiaruvi/playlist.m3u8,Tamil,📺,Playing,0x0
Joy TV,https://ktismaservers.in:3412/live/joytvlive.m3u8,Tamil,🪷,Playing,1920x1080
Kalaignar Murasu,https://yuppmedtaorire.akamaized.net/v1/master/a0d007312bfd99c47f76b77ae26b1ccdaae76cb1/murasu_nim_https/050522/murasu/playlist.m3u8,Tamil,📰,Playing,704x396
Kalaignar Tv,https://segment.yuppcdn.net/240122/kalaignartv/playlist.m3u8,Tamil,📺,Playing,0x0
Life TV,https://lifetv.livebox.co.in/lifetvhls/lifetv.m3u8,Tamil,🪷,Playing,1280x720
MK Six,https://mumt06.tangotv.in/qYyB8fXVMKSIX/index.m3u8,Tamil,📺,Playing,489x360
MN Tv,https://mntv.livebox.co.in/mntvhls/live.m3u8,Tamil,📺,Playing,1280x720
Madha TV,https://mumt07.tangotv.in/zHjX9OFlMADHATV/index.m3u8,Tamil,🪷,Playing,489x360
Madhimugam TV,https://mumt01.tangotv.in/O5aw8Zn3MATHIMUGAMTV/index.m3u8,Tamil,📰,Playing,489x360
Makkal TV (576i),https://5k8q87azdy4v-hls-live.wmncdn.net/MAKKAL/271ddf829afeece44d8732757fba1a66.sdp/playlist.m3u8,Tamil,📺,Playing,640x360
Mei Alai TV,https://meialai.iptelevishion.com/meialai/2/index.m3u8,Tamil,📺,Playing,768x576
Movie Club 2 Tv,https://d3gnyty2vddhsg.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/pb-ytipwjqub3kf8/TMC2_IN.m3u8?ads.ads_cdn=cf&ads.cdn=cf,Hindi,🎬,Playing,640x360
NDTV Good Times,https://amg01448-samsungin-ndtvgoodtimes-samsungin-ad-gp.amagi.tv/playlist/amg01448-samsungin-ndtvgoodtimes-samsungin/playlist.m3u8,Tamil,📺,Playing,640x360
News J,https://cdn.pishow.tv/ott/live/1279/master.m3u8,Tamil,📰,Playing,1024x751
News18 Tamil Nadu,https://n18syndication.akamaized.net/bpk-tv/News18_Tamil_Nadu_NW18_MOB/output01/master.m3u8,Tamil,📰,Playing,640x360
Nickelodeon,http://103.185.24.134:3001/NICK/index.m3u8,Tamil,👶,Playing,1047x576
OM TV,https://mumt01.tangotv.in/O5aw8Zn3OMTV/index.m3u8,Tamil,🪷,Playing,489x360
Oli TV,https://live.olidigital.in/olitv/olitv/index.m3u8,Tamil,📺,Playing,1920x1080
Polimer TV,https://cdn.pishow.tv/ott/live/1241/master.m3u8,Tamil,📰,Playing,1047x576
Puthiya Thalaimurai,https://mumt07.tangotv.in/zHjX9OFlPUTHIYAEXPRESS/index.m3u8,Tamil,📰,Playing,489x360
Puthuyugam TV,https://mumt04.tangotv.in/m18aqlK4PUTHUYUGAMTV/index.m3u8,Tamil,📺,Playing,489x360
Rakuten Action Movies,https://54045f0c40fd442c8b06df076aaf1e85.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6065/master.m3u8,English,🌐,Playing,448x252
Rakuten Family Movies,https://e3207568b726401995c25670faaf32e4.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6203/master.m3u8,English,🌐,Playing,448x252
Rakuten Top Movies,https://0145451975a64b35866170fd2e8fa486.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-5987/master.m3u8,English,🌐,Playing,448x252
Roja HD Tv,https://live.rojatv.cloud/rojatv/rojatv/index.m3u8,Tamil,📺,Playing,1920x1080
Roja Tv,https://stream.rojatv.cloud/rojatv/rojatv/index.m3u8,Tamil,📺,Playing,0x0
Sai TV,https://mumt03.tangotv.in/Dsly5z3HSAITV/index.m3u8,Tamil,📺,Playing,489x360
Sairam TV,https://mumt04.tangotv.in/m18aqlK4SAIRAMTV/index.m3u8,Tamil,🪷,Playing,655x360
Sonic,http://103.185.24.134:3001/SONIC/index.m3u8,Tamil,👶,Playing,1047x576
Sony BBC Earth HD,https://cloudplay-sonyliv.pages.dev/bbcearthhd.m3u8,Tamil,✨,Playing,384x216
Sony Sports Ten 4,https://cloudplay-sonyliv.pages.dev/ten4.m3u8,Tamil,🏏,Playing,384x216
Sony Yay!,https://cloudplay-sonyliv.pages.dev/yay.m3u8,Tamil,👶,Playing,384x216
South Station Tv,https://cc-yw7ztecy8do3q.akamaized.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-yw7ztecy8do3q/SS_IN.m3u8,Hindi,🎬,Playing,640x360
Star Vijay,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:starvijayuk.smil/playlist.m3u8,Tamil,⭐,Playing,640x360
