STREAM NAME,URL,CATEGORY,ICON,STATUS
Fail Army,https://failarmy-international-in.samsung.wurl.tv/playlist.m3u8,Music,🎵,DEAD
Hungama TV,http://103.185.24.134:3001/HUNGAMA/index.m3u8,Hindi,👶,DEAD
Movie Club 2 Tv,https://d3gnyty2vddhsg.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/pb-ytipwjqub3kf8/TMC2_IN.m3u8?ads.ads_cdn=cf&ads.cdn=cf,Hindi,🎬,DEAD
Nickelodeon,http://103.185.24.134:3001/NICK/index.m3u8,Music,🎵,DEAD
Polimer TV,https://cdn.pishow.tv/ott/live/1241/master.m3u8,Music,🎵,DEAD
Sai TV,https://mumt03.tangotv.in/Dsly5z3HSAITV/index.m3u8,Music,🎵,DEAD
Sony Sports Ten 4,https://cloudplay-sonyliv.pages.dev/ten4.m3u8,Music,🎵,DEAD
Super Hungama,http://103.185.24.134:3001/SUPER-HUNGAMA/index.m3u8,Hindi,👶,DEAD
Toonami Movie,http://api.toonamiaftermath.com:3000/movies/playlist.m3u8,Hindi,👶,DEAD
News J,https://cdn.pishow.tv/ott/live/1279/master.m3u8,Tamil,📰,DEAD
NTC TV,https://galaxyott.live/hls/ntv.m3u8,Tamil,📺,DEAD
Oli TV,https://live.olidigital.in/olitv/olitv/index.m3u8,Tamil,📺,DEAD
Raj TV,https://livestream.rajtv.tv/hlslive/Admin/px08241087/live/RAJTV/master_1.m3u8,Music,🎵,DEAD
Sony MAX HD,https://sl.vodep39240327.workers.dev/channel/SONY%20MAX%20HD.m3u8,Hindi,🎬,DEAD
Travel XP HD Tv,https://deltatesttatasky.akamaized.net/out/i/968284.m3u8,English,🌐,DEAD
Chithiram Tv,https://cdn.pishow.tv/ott/live/1243/master.m3u8,Tamil,👶,DEAD
DD Tamil,https://d2lk5u59tns74c.cloudfront.net/out/v1/abf46b148419409d8469d7a9b0c26563/index.m3u8,Tamil,📺,DEAD
Malar Tv,https://cdn.pishow.tv/ott/live/473/master.m3u8,Tamil,📺,DEAD
Moon Tv,https://player.mslivestream.net/mslive/e10bb900976df9177b9a080314f26f86.sdp/index.m3u8,Tamil,📺,DEAD
Polimer news,https://live-cf-polimernews.dailyhunt.in/master.m3u8,Tamil,📰,DEAD
Sony MAX 2,https://sl.vodep39240327.workers.dev/channel/SONY%20MAX%202.m3u8,Hindi,🎬,DEAD
Sony PIX HD,https://sl.vodep39240327.workers.dev/channel/SONY%20PIX%20HD.m3u8,English,🎬,DEAD
Sony WAH,https://sl.vodep39240327.workers.dev/channel/SONY%20WAH.m3u8,Hindi,🎬,DEAD
Win Tv,https://cdn.pishow.tv/ott/live/1531/master.m3u8,Tamil,📺,DEAD
Zee Tamil News,https://raw.githubusercontent.com/amazeyourself/adaptive-streams/refs/heads/main/streams/in/ZMCL/ZeeTamilNews.m3u8,Tamil,📰,DEAD
IBC Tamil,https://ibc.massstream.net/IBC/index.m3u8,Tamil,📺,DEAD
National Geographic,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:17:28:41&stream=373017&extension=ts&play_token=zCaGy5dtla,Bengali,🌍,DEAD
Sooriyan TV,https://live20.bozztv.com/giatv/giatv-Infinittyott/Infinittyott/playlist.m3u8,Music,🎵,DEAD
Star Vijay HD,https://peaky.techcoder40.workers.dev/776.m3u8,Music,🎵,DEAD
Suriyan Tv,https://stream.sscloud7.com/live/suriyantv/index.m3u8,Hindi,🎬,DEAD
Vijay Takkar APAC,https://tglmp01.akamaized.net/out/v1/c1071012b73f4f189b202e1529e8f802/manifest.mpd,Tamil,🎵,DEAD
Angel TV,https://janya-digimix.akamaized.net/vglive-sk-394914/india/ngrp:angelindia_all/playlist.m3u8,Tamil,🪷,DEAD
Angel TV America,https://janya-digimix.akamaized.net/vglive-sk-374850/america/ngrp:angelamerica_all/playlist.m3u8,Tamil,🪷,DEAD
Angel TV Indonesia,https://janya-digimix.akamaized.net/vglive-sk-234616/indonesia/ngrp:angelindonesia_all/playlist.m3u8,Tamil,🪷,DEAD
Go USA,https://brandusa-gousa-1-in.samsung.wurl.tv/playlist.m3u8,English,🎬,DEAD
MTA6 Asia,https://livemtaasia.akamaized.net/hls/live/2039224/mta6asia/playlist.m3u8,Tamil,🪷,DEAD
MTA7 Asia,https://livemtaasia.akamaized.net/hls/live/2039224/mtaasia2/playlist.m3u8,Tamil,🪷,DEAD
