STREAM NAME,URL,CATEGORY,ICON,STATUS
Angel TV,https://janya-digimix.akamaized.net/vglive-sk-394914/india/ngrp:angelindia_all/playlist.m3u8,Tamil,🪷,Live
Angel TV America,https://janya-digimix.akamaized.net/vglive-sk-374850/america/ngrp:angelamerica_all/playlist.m3u8,Tamil,🪷,Live
Angel TV Indonesia,https://janya-digimix.akamaized.net/vglive-sk-234616/indonesia/ngrp:angelindonesia_all/playlist.m3u8,Tamil,🪷,Live
Chithiram Tv,https://cdn.pishow.tv/ott/live/1243/master.m3u8,Tamil,📺,Live
DD Tamil,https://cdn.pishow.tv/ott/live/26/master.m3u8,Tamil,📺,Live
DD Tamil,https://d2lk5u59tns74c.cloudfront.net/out/v1/abf46b148419409d8469d7a9b0c26563/index.m3u8,Tamil,📺,Dead
Go USA,https://brandusa-gousa-1-in.samsung.wurl.tv/playlist.m3u8,English,📺,Dead
IBC Tamil,https://ibc.massstream.net/IBC/index.m3u8,Tamil,📺,Live
Malai Murasu Tv,https://cdn.pishow.tv/ott/live/1606/master.m3u8,Tamil,📺,Live
Malar Tv,https://cdn.pishow.tv/ott/live/473/master.m3u8,Tamil,📺,Dead
Manorama Tv,https://cdn.pishow.tv/ott/live/1479/master.m3u8,Malayalam,📺,Live
Mk Six Tv,https://cdn.pishow.tv/ott/live/1253/master.m3u8,Tamil,📺,Live
Moon Tv,https://player.mslivestream.net/mslive/e10bb900976df9177b9a080314f26f86.sdp/index.m3u8,Tamil,📺,Dead
MTA6 Asia,https://livemtaasia.akamaized.net/hls/live/2039224/mta6asia/playlist.m3u8,Tamil,🪷,Live
MTA7 Asia,https://livemtaasia.akamaized.net/hls/live/2039224/mtaasia2/playlist.m3u8,Tamil,🪷,Live
National Geographic,http://main.light-ott.net:80/play/live.php?mac=00:1A:79:17:28:41&stream=373017&extension=ts&play_token=zCaGy5dtla,Tamil,📺,Live
News 7 Tv,https://cdn.pishow.tv/ott/live/1498/master.m3u8,Tamil,📺,Live
News J,https://cdn.pishow.tv/ott/live/1279/master.m3u8,Tamil,📰,Live
NTC TV,https://galaxyott.live/hls/ntv.m3u8,Tamil,📺,Live
Oli TV,https://live.olidigital.in/olitv/olitv/index.m3u8,Tamil,📺,Dead
Peppers Tv,https://cdn.pishow.tv/ott/live/1383/master.m3u8,Tamil,📺,Live
Polimer news,https://cdn.pishow.tv/ott/live/1245/master.m3u8,Tamil,📺,Live
Polimer news,https://live-cf-polimernews.dailyhunt.in/master.m3u8,Tamil,📺,Dead
Puthiyathalaimurai tv,https://cdn.pishow.tv/ott/live/1261/master.m3u8,Tamil,📺,Live
Raj Musix Tamil,https://livestream.rajtv.tv/hlslive/Admin/px08241087/live/Raj_Musix/master_1.m3u8,Tamil,🎵,Live
Raj TV,https://livestream.rajtv.tv/hlslive/Admin/px08241087/live/RAJTV/master_1.m3u8,Tamil,📺,Live
Rakuten Action Movies,https://54045f0c40fd442c8b06df076aaf1e85.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6065/master.m3u8,English,📺,Live
Rakuten Family Movies,https://e3207568b726401995c25670faaf32e4.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-6203/master.m3u8,English,📺,Live
Rakuten Top Movies,https://0145451975a64b35866170fd2e8fa486.mediatailor.eu-west-1.amazonaws.com/v1/master/0547f18649bd788bec7b67b746e47670f558b6b2/production-LiveChannel-5987/master.m3u8,English,📺,Live
Shemaroo Tv,https://cdn.pishow.tv/ott/live/230/master.m3u8,Hindi,📺,Live
Sony MAX 2,https://sl.vodep39240327.workers.dev/channel/SONY%20MAX%202.m3u8,Hindi,📺,Live
Sony MAX HD,https://sl.vodep39240327.workers.dev/channel/SONY%20MAX%20HD.m3u8,Hindi,📺,Live
Sony PIX HD,https://sl.vodep39240327.workers.dev/channel/SONY%20PIX%20HD.m3u8,English,📺,Live
Sony WAH,https://sl.vodep39240327.workers.dev/channel/SONY%20WAH.m3u8,Hindi,📺,Live
Sooriyan TV,https://live20.bozztv.com/giatv/giatv-Infinittyott/Infinittyott/playlist.m3u8,Tamil,📺,Live
Star Vijay HD,https://peaky.techcoder40.workers.dev/776.m3u8,Tamil,📺,Live
Studio One Tv,https://cdn.pishow.tv/ott/live/276/master.m3u8,Telugu,📺,Live
Suriya Tv,https://stream.ottlive.co.in/suryatvtamil/index.m3u8,Tamil,📺,Live
Suriyan Tv,https://stream.sscloud7.com/live/suriyantv/index.m3u8,Tamil,📺,Live
Thanthi Tv,https://cdn.pishow.tv/ott/live/1612/master.m3u8,Tamil,📺,Live
Travel XP HD Tv,https://deltatesttatasky.akamaized.net/out/i/968284.m3u8,English,📺,Live
Velicham Tv,https://cdn.pishow.tv/ott/live/461/master.m3u8,Tamil,📺,Live
Vendar Tv,https://cdn.pishow.tv/ott/live/1271/master.m3u8,Tamil,📺,Live
Vijay Takkar APAC,https://tglmp01.akamaized.net/out/v1/c1071012b73f4f189b202e1529e8f802/manifest.mpd,Tamil,🎵,Live
We Tv,https://cdn.pishow.tv/ott/live/1530/master.m3u8,Malayalam,📺,Live
Win Tv,https://cdn.pishow.tv/ott/live/1531/master.m3u8,Tamil,📺,Live
YET TV,https://live.yettelevision.com:5443/LiveApp/streams/yettv.m3u8,Tamil,📺,Dead
Zee Tamil News,https://raw.githubusercontent.com/amazeyourself/adaptive-streams/refs/heads/main/streams/in/ZMCL/ZeeTamilNews.m3u8,Tamil,📰,Live
