STREAM NAME,URL,CATEGORY,ICON,STATUS
Aaryaa Tv,https://stream.ottlive.co.in/aryatvtamil/index.m3u8,Tamil,,Live
Fail Army,https://failarmy-international-in.samsung.wurl.tv/playlist.m3u8,English,,Live
Hungama TV,http://103.185.24.134:3001/HUNGAMA/index.m3u8,Tamil,👶,Live
Isaiaruvi Tv,https://segment.yuppcdn.net/140622/isaiaruvi/playlist.m3u8,Tamil,,Live
Kalaignar Murasu,https://yuppmedtaorire.akamaized.net/v1/master/a0d007312bfd99c47f76b77ae26b1ccdaae76cb1/murasu_nim_https/050522/murasu/playlist.m3u8,Tamil,📰,Live
Kalaignar Tv,https://segment.yuppcdn.net/240122/kalaignartv/playlist.m3u8,Tamil,,Live
Madha TV,https://mumt07.tangotv.in/zHjX9OFlMADHATV/index.m3u8,Tamil,🪷,Live
Madhimugam TV,https://mumt01.tangotv.in/O5aw8Zn3MATHIMUGAMTV/index.m3u8,Tamil,📰,Live
Mei Alai TV,https://meialai.iptelevishion.com/meialai/2/index.m3u8,Tamil,📺,Live
MK Six,https://mumt06.tangotv.in/qYyB8fXVMKSIX/index.m3u8,Tamil,📺,Live
MN Tv,https://mntv.livebox.co.in/mntvhls/live.m3u8,Tamil,,Live
Movie Club 2 Tv,https://d3gnyty2vddhsg.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/pb-ytipwjqub3kf8/TMC2_IN.m3u8?ads.ads_cdn=cf&ads.cdn=cf,Hindi,,Live
Movie Club Tv,https://sis-global.prod.samsungtv.plus/v1/tvpprd/sc-mp2ar4ca425xo.m3u8,Hindi,,Live
Murasu Tv,https://segment.yuppcdn.net/050522/murasu/playlist.m3u8,Tamil,,Live
News 7 Tv,https://segment.yuppcdn.net/240122/news7/playlist.m3u8,Tamil,,Live
News Tamil 24x7,https://cdn.pishow.tv/ott/live/1433/master.m3u8,Tamil,📰,Live
NH Tamil Gold,https://d3arbp6l7f096k.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/pb-gv6wgpbb4mgwk/playlist.m3u8?ads.ads_cdn=cf&ads.app_domain=APP_DOMAIN&ads.cdn=cf,Tamil,🎬,Live
Nickelodeon,http://103.185.24.134:3001/NICK/index.m3u8,Tamil,👶,Live
Polimer TV,https://cdn.pishow.tv/ott/live/1241/master.m3u8,Tamil,📰,Live
Puthiya Thalaimurai,https://mumt07.tangotv.in/zHjX9OFlPUTHIYAEXPRESS/index.m3u8,Tamil,📰,Live
Puthuyugam TV,https://mumt04.tangotv.in/m18aqlK4PUTHUYUGAMTV/index.m3u8,Tamil,📺,Live
Sirippoli Tv,https://segment.yuppcdn.net/240122/siripoli/playlist.m3u8,Tamil,,Live
Sonic,http://103.185.24.134:3001/SONIC/index.m3u8,Tamil,👶,Live
Sony BBC Earth HD,https://cloudplay-sonyliv.pages.dev/bbcearthhd.m3u8,Tamil,✨,Live
Sony Sports Ten 4,https://cloudplay-sonyliv.pages.dev/ten4.m3u8,Tamil,🏏,Live
Sony Yay!,https://cloudplay-sonyliv.pages.dev/yay.m3u8,Tamil,👶,Live
South Station Tv,https://cc-yw7ztecy8do3q.akamaized.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-yw7ztecy8do3q/SS_IN.m3u8,Hindi,,Live
Star Vijay,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:starvijayuk.smil/playlist.m3u8,Tamil,⭐,Live
Super Hungama,http://103.185.24.134:3001/SUPER-HUNGAMA/index.m3u8,Tamil,👶,Live
Tamil Janam,https://mumt01.tangotv.in/O5aw8Zn3JANAMTVTAMIL/index.m3u8,Tamil,📰,Live
Tamilan TV,https://mumt04.tangotv.in/m18aqlK4TAMILANTELEVISION/index.m3u8,Tamil,📺,Live
WOW Kidz Tamil,https://yuppparoriglin.akamaized.net/181224/smil:wowkidztam.smil/playlist.m3u8?hdnts=st=1735898689~exp=1835898688~acl=*~hmac=f5fe24724fe05481e3841f9eb5ab8efdee0a3dd83645ae9dcf45703f525bab7b,Tamil,👶,Live
YET Max,https://live.yettelevision.com:5443/LiveApp/streams/yettv2.m3u8,Tamil,🎵,Live
YET TV,https://live.yettelevision.com:5443/LiveApp/streams/yettv.m3u8,Tamil,📺,Live
Zee Tamil HD,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:zeetamil1.smil/playlist.m3u8,Tamil,✨,Live
Sony pix HD,https://cloudplay-sonyliv.pages.dev/pixhd.m3u8,English,✨,Live
